"rgn_id","sector","year","value"
1,"sb",2003,58413.9512108262
2,"sb",2003,58413.9512108262
3,"sb",2003,58413.9512108262
4,"sb",2003,58413.9512108262
5,"sb",2003,58413.9512108262
6,"sb",2003,58413.9512108262
7,"sb",2003,58413.9512108262
8,"sb",2003,58413.9512108262
9,"sb",2003,58413.9512108262
10,"sb",2003,58413.9512108262
11,"sb",2003,58413.9512108262
12,"sb",2003,58413.9512108262
13,"sb",2003,58413.9512108262
14,"sb",2003,58413.9512108262
1,"sb",2004,65813.7965188746
2,"sb",2004,65813.7965188746
3,"sb",2004,65813.7965188746
4,"sb",2004,65813.7965188746
5,"sb",2004,65813.7965188746
6,"sb",2004,65813.7965188746
7,"sb",2004,65813.7965188746
8,"sb",2004,65813.7965188746
9,"sb",2004,65813.7965188746
10,"sb",2004,65813.7965188746
11,"sb",2004,65813.7965188746
12,"sb",2004,65813.7965188746
13,"sb",2004,65813.7965188746
14,"sb",2004,65813.7965188746
1,"sb",2005,68323.0613425926
2,"sb",2005,68323.0613425926
3,"sb",2005,68323.0613425926
4,"sb",2005,68323.0613425926
5,"sb",2005,68323.0613425926
6,"sb",2005,68323.0613425926
7,"sb",2005,68323.0613425926
8,"sb",2005,68323.0613425926
9,"sb",2005,68323.0613425926
10,"sb",2005,68323.0613425926
11,"sb",2005,68323.0613425926
12,"sb",2005,68323.0613425926
13,"sb",2005,68323.0613425926
14,"sb",2005,68323.0613425926
1,"sb",2006,67350.5664618946
2,"sb",2006,67350.5664618946
3,"sb",2006,67350.5664618946
4,"sb",2006,67350.5664618946
5,"sb",2006,67350.5664618946
6,"sb",2006,67350.5664618946
7,"sb",2006,67350.5664618946
8,"sb",2006,67350.5664618946
9,"sb",2006,67350.5664618946
10,"sb",2006,67350.5664618946
11,"sb",2006,67350.5664618946
12,"sb",2006,67350.5664618946
13,"sb",2006,67350.5664618946
14,"sb",2006,67350.5664618946
1,"sb",2007,80986.3392539174
2,"sb",2007,80986.3392539174
3,"sb",2007,80986.3392539174
4,"sb",2007,80986.3392539174
5,"sb",2007,80986.3392539174
6,"sb",2007,80986.3392539174
7,"sb",2007,80986.3392539174
8,"sb",2007,80986.3392539174
9,"sb",2007,80986.3392539174
10,"sb",2007,80986.3392539174
11,"sb",2007,80986.3392539174
12,"sb",2007,80986.3392539174
13,"sb",2007,80986.3392539174
14,"sb",2007,80986.3392539174
1,"tour",2003,169770.396523327
2,"tour",2003,169770.396523327
3,"tour",2003,169770.396523327
4,"tour",2003,169770.396523327
5,"tour",2003,169770.396523327
6,"tour",2003,169770.396523327
7,"tour",2003,169770.396523327
8,"tour",2003,169770.396523327
9,"tour",2003,169770.396523327
10,"tour",2003,169770.396523327
11,"tour",2003,169770.396523327
12,"tour",2003,169770.396523327
13,"tour",2003,169770.396523327
14,"tour",2003,169770.396523327
1,"tour",2004,184337.445468305
2,"tour",2004,184337.445468305
3,"tour",2004,184337.445468305
4,"tour",2004,184337.445468305
5,"tour",2004,184337.445468305
6,"tour",2004,184337.445468305
7,"tour",2004,184337.445468305
8,"tour",2004,184337.445468305
9,"tour",2004,184337.445468305
10,"tour",2004,184337.445468305
11,"tour",2004,184337.445468305
12,"tour",2004,184337.445468305
13,"tour",2004,184337.445468305
14,"tour",2004,184337.445468305
1,"tour",2005,190900.343327102
2,"tour",2005,190900.343327102
3,"tour",2005,190900.343327102
4,"tour",2005,190900.343327102
5,"tour",2005,190900.343327102
6,"tour",2005,190900.343327102
7,"tour",2005,190900.343327102
8,"tour",2005,190900.343327102
9,"tour",2005,190900.343327102
10,"tour",2005,190900.343327102
11,"tour",2005,190900.343327102
12,"tour",2005,190900.343327102
13,"tour",2005,190900.343327102
14,"tour",2005,190900.343327102
1,"tour",2006,197022.84210292
2,"tour",2006,197022.84210292
3,"tour",2006,197022.84210292
4,"tour",2006,197022.84210292
5,"tour",2006,197022.84210292
6,"tour",2006,197022.84210292
7,"tour",2006,197022.84210292
8,"tour",2006,197022.84210292
9,"tour",2006,197022.84210292
10,"tour",2006,197022.84210292
11,"tour",2006,197022.84210292
12,"tour",2006,197022.84210292
13,"tour",2006,197022.84210292
14,"tour",2006,197022.84210292
1,"tour",2007,230426.159633191
2,"tour",2007,230426.159633191
3,"tour",2007,230426.159633191
4,"tour",2007,230426.159633191
5,"tour",2007,230426.159633191
6,"tour",2007,230426.159633191
7,"tour",2007,230426.159633191
8,"tour",2007,230426.159633191
9,"tour",2007,230426.159633191
10,"tour",2007,230426.159633191
11,"tour",2007,230426.159633191
12,"tour",2007,230426.159633191
13,"tour",2007,230426.159633191
14,"tour",2007,230426.159633191
1,"tran",2003,170878.277466168
2,"tran",2003,170878.277466168
3,"tran",2003,170878.277466168
4,"tran",2003,170878.277466168
5,"tran",2003,170878.277466168
6,"tran",2003,170878.277466168
7,"tran",2003,170878.277466168
8,"tran",2003,170878.277466168
9,"tran",2003,170878.277466168
10,"tran",2003,170878.277466168
11,"tran",2003,170878.277466168
12,"tran",2003,170878.277466168
13,"tran",2003,170878.277466168
14,"tran",2003,170878.277466168
1,"tran",2004,186673.794738248
2,"tran",2004,186673.794738248
3,"tran",2004,186673.794738248
4,"tran",2004,186673.794738248
5,"tran",2004,186673.794738248
6,"tran",2004,186673.794738248
7,"tran",2004,186673.794738248
8,"tran",2004,186673.794738248
9,"tran",2004,186673.794738248
10,"tran",2004,186673.794738248
11,"tran",2004,186673.794738248
12,"tran",2004,186673.794738248
13,"tran",2004,186673.794738248
14,"tran",2004,186673.794738248
1,"tran",2005,196979.528356481
2,"tran",2005,196979.528356481
3,"tran",2005,196979.528356481
4,"tran",2005,196979.528356481
5,"tran",2005,196979.528356481
6,"tran",2005,196979.528356481
7,"tran",2005,196979.528356481
8,"tran",2005,196979.528356481
9,"tran",2005,196979.528356481
10,"tran",2005,196979.528356481
11,"tran",2005,196979.528356481
12,"tran",2005,196979.528356481
13,"tran",2005,196979.528356481
14,"tran",2005,196979.528356481
1,"tran",2006,214452.646456553
2,"tran",2006,214452.646456553
3,"tran",2006,214452.646456553
4,"tran",2006,214452.646456553
5,"tran",2006,214452.646456553
6,"tran",2006,214452.646456553
7,"tran",2006,214452.646456553
8,"tran",2006,214452.646456553
9,"tran",2006,214452.646456553
10,"tran",2006,214452.646456553
11,"tran",2006,214452.646456553
12,"tran",2006,214452.646456553
13,"tran",2006,214452.646456553
14,"tran",2006,214452.646456553
1,"tran",2007,238506.443643162
2,"tran",2007,238506.443643162
3,"tran",2007,238506.443643162
4,"tran",2007,238506.443643162
5,"tran",2007,238506.443643162
6,"tran",2007,238506.443643162
7,"tran",2007,238506.443643162
8,"tran",2007,238506.443643162
9,"tran",2007,238506.443643162
10,"tran",2007,238506.443643162
11,"tran",2007,238506.443643162
12,"tran",2007,238506.443643162
13,"tran",2007,238506.443643162
14,"tran",2007,238506.443643162
